timestamp,R_99
1579355129,24.94
1579355130,22.13
1579355131,47.48
1579355132,45.48
1579355133,23.46
1579355134,72.42
1579355135,28.13
1579355136,55.28
1579355137,31.44
1579355138,53.15
1579355139,60.0
1579355140,56.07
1579355141,65.57
1579355142,58.39
1579355143,66.81
1579355144,45.91
1579355145,54.36
1579355146,40.47
1579355147,43.19
1579355148,53.44
1579355149,71.24
1579355150,45.88
1579355151,50.1
1579355152,22.04
1579355153,50.4
1579355154,35.88
1579355155,52.63
1579355156,64.36
1579355157,53.67
1579355158,61.54
1579355159,62.19
1579355160,55.21
1579355161,68.03
1579355162,63.93
1579355163,57.34
1579355164,56.39
1579355165,57.31
1579355166,68.29
1579355167,59.9
1579355168,52.26
1579355169,55.84
1579355170,58.33
1579355171,71.76
1579355172,56.66
1579355173,55.51
1579355174,60.16
1579355175,99.81
1579355176,72.22
1579355177,54.59
1579355178,52.36
1579355179,61.54
1579355180,67.5
1579355181,103.09
1579355182,62.82
1579355183,77.92
1579355184,88.8
1579355185,70.19
1579355186,62.23
1579355187,61.57
1579355188,64.45
1579355189,86.25
1579355190,59.6
1579355191,59.18
1579355192,60.88
1579355193,58.0
1579355194,65.9
1579355195,68.03
1579355196,69.07
1579355197,61.67
1579355198,66.55
1579355199,71.57
1579355200,66.85
1579355201,62.1
1579355202,55.18
1579355203,61.51
1579355204,68.68
1579355205,80.81
1579355206,60.69
1579355207,56.49
1579355208,59.08
1579355209,60.23
1579355210,78.32
1579355211,64.68
1579355212,66.75
1579355213,69.01
1579355214,93.39
1579355215,55.12
1579355216,73.6
1579355217,69.01
1579355218,77.0
1579355219,104.01
1579355220,95.55
1579355221,68.75
1579355222,78.12
1579355223,47.84
1579355224,88.67
1579355225,73.86
1579355226,205.65
1579355227,98.63
1579355228,181.27
1579355229,114.16
1579355230,74.51
1579355231,68.03
1579355232,86.97
1579355233,91.82
1579355234,77.79
1579355235,199.49
1579355236,72.42
1579355237,71.76
1579355238,71.04
1579355239,209.85
1579355240,208.4
1579355241,70.45
1579355242,216.14
1579355243,82.38
1579355244,107.87
1579355245,208.67
1579355246,136.31
1579355247,206.44
1579355248,149.03
1579355249,204.73
1579355250,206.05
1579355251,209.06
1579355252,211.03
1579355253,206.7
1579355254,104.33
1579355255,230.42
1579355256,214.17
1579355257,78.51
1579355258,109.05
1579355259,75.89
1579355260,59.05
1579355261,208.27
1579355262,76.15
1579355263,206.83
1579355264,98.57
1579355265,276.82
1579355266,229.24
1579355267,97.12
1579355268,208.93
1579355269,208.4
1579355270,223.74
1579355271,70.98
1579355272,206.44
1579355273,212.07
1579355274,80.22
1579355275,208.54
1579355276,266.99
1579355277,166.2
1579355278,72.22
1579355279,87.1
1579355280,271.32
1579355281,206.44
1579355282,209.19
1579355283,216.01
1579355284,209.85
1579355285,163.97
1579355286,214.04
1579355287,252.71
1579355288,206.7
1579355289,94.77
1579355290,205.78
1579355291,92.41
1579355292,281.28
1579355293,218.37
1579355294,207.36
1579355295,231.34
1579355296,251.13
1579355297,219.02
1579355298,266.6
1579355299,103.87
1579355300,272.37
1579355301,211.42
1579355302,254.8
1579355303,205.65
1579355304,95.62
1579355305,240.25
1579355306,212.86
1579355307,215.48
1579355308,214.43
1579355309,264.9
1579355310,206.7
1579355311,217.97
1579355312,221.77
1579355313,208.14
1579355314,215.48
1579355315,211.16
1579355316,209.98
1579355317,223.74
1579355318,212.86
1579355319,66.03
1579355320,87.75
1579355321,226.1
1579355322,208.67
1579355323,218.1
1579355324,215.88
1579355325,213.52
1579355326,209.58
1579355327,284.16
1579355328,210.76
1579355329,265.29
1579355330,279.97
1579355331,209.98
1579355332,219.81
1579355333,219.28
1579355334,209.06
1579355335,275.78
1579355336,258.74
1579355337,289.41
1579355338,276.3
1579355339,220.59
1579355340,217.06
1579355341,273.42
1579355342,206.96
1579355343,229.38
1579355344,330.3
1579355345,234.75
1579355346,207.75
1579355347,213.78
1579355348,60.23
1579355349,285.47
1579355350,212.99
1579355351,273.94
1579355352,279.18
1579355353,258.74
1579355354,234.23
1579355355,213.91
1579355356,209.32
1579355357,313.0
1579355358,346.29
1579355359,321.39
1579355360,209.98
1579355361,219.41
1579355362,232.39
1579355363,212.07
1579355364,217.32
1579355365,226.62
1579355366,214.3
1579355367,294.39
1579355368,273.42
1579355369,211.81
1579355370,264.24
1579355371,231.34
1579355372,286.0
1579355373,251.0
1579355374,256.51
1579355375,265.95
1579355376,214.17
1579355377,274.2
1579355378,239.73
1579355379,266.34
1579355380,245.37
1579355381,218.37
1579355382,219.15
1579355383,270.01
1579355384,236.06
1579355385,216.27
1579355386,242.88
1579355387,280.23
1579355388,218.1
1579355389,274.2
1579355390,232.91
1579355391,260.44
1579355392,213.78
1579355393,223.87
1579355394,225.44
1579355395,240.52
1579355396,229.64
1579355397,212.86
1579355398,296.22
1579355399,276.82
1579355400,281.28
1579355401,309.07
1579355402,221.77
1579355403,224.26
1579355404,210.24
1579355405,217.97
1579355406,216.66
1579355407,218.37
1579355408,223.48
1579355409,238.03
1579355410,217.45
1579355411,216.92
1579355412,270.27
1579355413,254.41
1579355414,269.75
1579355415,225.18
1579355416,334.23
1579355417,347.6
1579355418,319.29
1579355419,270.27
1579355420,298.58
1579355421,219.02
1579355422,266.73
1579355423,273.94
1579355424,238.81
1579355425,213.25
1579355426,213.78
1579355427,227.67
1579355428,279.71
1579355429,218.23
1579355430,214.3
1579355431,268.96
1579355432,305.66
1579355433,283.64
1579355434,279.18
1579355435,252.84
1579355436,233.18
1579355437,208.93
1579355438,267.91
1579355439,225.97
1579355440,217.06
1579355441,231.87
1579355442,229.9
1579355443,230.56
1579355444,212.34
1579355445,214.96
1579355446,221.51
1579355447,217.97
1579355448,216.53
1579355449,268.7
1579355450,297.27
1579355451,281.02
1579355452,266.47
1579355453,222.56
1579355454,300.42
1579355455,221.77
1579355456,279.45
1579355457,212.6
1579355458,216.79
1579355459,288.1
1579355460,264.77
1579355461,219.68
1579355462,216.14
1579355463,265.68
1579355464,273.42
1579355465,225.31
1579355466,228.98
1579355467,205.78
1579355468,218.5
1579355469,267.26
1579355470,256.51
1579355471,219.94
1579355472,232.78
1579355473,221.64
1579355474,211.03
1579355475,293.34
1579355476,217.06
1579355477,278.92
1579355478,224.4
1579355479,239.6
1579355480,222.82
1579355481,266.99
1579355482,254.8
1579355483,249.56
1579355484,235.93
1579355485,225.57
1579355486,223.74
1579355487,287.31
1579355488,227.93
1579355489,221.64
1579355490,221.38
1579355491,423.89
1579355492,227.41
1579355493,222.43
1579355494,285.74
1579355495,225.71
1579355496,265.03
1579355497,281.28
1579355498,239.86
1579355499,294.13
1579355500,216.79
1579355501,286.26
1579355502,263.72
1579355503,222.82
1579355504,243.79
1579355505,293.34
1579355506,214.56
1579355507,219.28
1579355508,226.1
1579355509,258.34
1579355510,257.16
1579355511,210.37
1579355512,278.13
1579355513,285.74
1579355514,229.11
1579355515,279.97
1579355516,271.32
1579355517,254.02
1579355518,276.82
1579355519,218.23
1579355520,274.73
1579355521,254.67
1579355522,270.79
1579355523,276.04
1579355524,285.74
1579355525,225.31
1579355526,246.42
1579355527,275.25
1579355528,227.8
1579355529,251.0
1579355530,211.03
1579355531,277.87
1579355532,260.31
1579355533,259.0
1579355534,277.09
1579355535,216.66
1579355536,260.96
1579355537,262.41
1579355538,285.74
1579355539,270.27
1579355540,220.2
1579355541,274.73
1579355542,214.83
1579355543,265.03
1579355544,225.71
1579355545,239.6
1579355546,330.56
1579355547,235.01
1579355548,325.06
1579355549,221.9
1579355550,218.37
1579355551,231.34
1579355552,224.13
1579355553,215.88
1579355554,216.92
1579355555,278.13
1579355556,251.4
1579355557,268.3
1579355558,213.91
1579355559,215.48
1579355560,215.22
1579355561,228.85
1579355562,255.59
1579355563,270.01
1579355564,214.04
1579355565,281.28
1579355566,208.54
1579355567,251.92
1579355568,225.84
1579355569,289.67
1579355570,222.17
1579355571,233.7
1579355572,266.6
1579355573,281.54
1579355574,278.13
1579355575,215.22
1579355576,262.01
1579355577,243.92
1579355578,216.4
1579355579,278.92
1579355580,244.71
1579355581,268.96
1579355582,243.53
1579355583,226.89
1579355584,264.11
1579355585,267.78
1579355586,271.06
1579355587,224.4
1579355588,229.51
1579355589,308.81
1579355590,295.44
1579355591,215.88
1579355592,230.42
1579355593,253.49
1579355594,269.22
1579355595,241.43
1579355596,213.52
1579355597,224.66
1579355598,272.11
1579355599,247.99
1579355600,270.27
1579355601,259.26
1579355602,292.29
1579355603,216.79
1579355604,215.09
1579355605,311.95
1579355606,303.82
1579355607,265.42
1579355608,218.5
1579355609,278.66
1579355610,214.43
1579355611,213.78
1579355612,219.81
1579355613,223.87
1579355614,278.13
1579355615,312.74
1579355616,223.61
1579355617,275.78
1579355618,232.26
1579355619,251.27
1579355620,262.41
1579355621,275.78
1579355622,278.66
1579355623,224.53
1579355624,237.9
1579355625,221.12
1579355626,277.35
1579355627,216.01
1579355628,238.55
1579355629,236.32
1579355630,224.53
1579355631,273.68
1579355632,281.54
1579355633,323.22
1579355634,216.66
1579355635,294.91
1579355636,275.25
1579355637,225.71
1579355638,228.07
1579355639,243.92
1579355640,224.92
1579355641,220.07
1579355642,265.29
1579355643,272.63
1579355644,280.49
1579355645,340.53
1579355646,289.67
1579355647,245.5
1579355648,254.15
1579355649,237.9
1579355650,259.78
1579355651,228.33
1579355652,298.58
1579355653,248.77
1579355654,260.57
1579355655,216.01
1579355656,216.66
1579355657,273.42
1579355658,222.3
1579355659,229.51
1579355660,292.81
1579355661,214.17
1579355662,304.09
1579355663,273.94
1579355664,220.33
1579355665,216.92
1579355666,230.56
1579355667,260.57
1579355668,271.32
1579355669,292.55
1579355670,255.72
1579355671,272.89
1579355672,215.09
1579355673,227.8
1579355674,276.04
1579355675,286.0
1579355676,249.43
1579355677,295.7
1579355678,318.77
1579355679,268.44
1579355680,222.3
1579355681,273.15
1579355682,278.66
1579355683,226.49
1579355684,217.58
1579355685,308.02
1579355686,224.53
1579355687,216.4
1579355688,251.92
1579355689,278.4
1579355690,215.74
1579355691,245.24
1579355692,231.74
1579355693,257.43
1579355694,215.48
1579355695,268.04
1579355696,218.23
1579355697,266.34
1579355698,283.64
1579355699,306.18
1579355700,221.25
1579355701,268.96
1579355702,279.71
1579355703,221.25
1579355704,255.72
1579355705,222.3
1579355706,218.23
1579355707,244.19
1579355708,221.12
1579355709,272.89
1579355710,243.53
1579355711,227.28
1579355712,295.7
1579355713,216.66
1579355714,215.48
1579355715,132.12
1579355716,297.01
1579355717,208.67
1579355718,271.84
1579355719,278.4
1579355720,218.89
1579355721,285.47
1579355722,220.99
1579355723,266.47
1579355724,260.57
1579355725,220.86
1579355726,237.63
1579355727,272.63
1579355728,273.94
1579355729,313.0
1579355730,225.97
1579355731,251.0
1579355732,310.12
1579355733,294.13
1579355734,265.68
1579355735,270.01
1579355736,217.84
1579355737,241.96
1579355738,329.52
1579355739,216.27
1579355740,260.18
1579355741,247.07
1579355742,214.56
1579355743,215.35
1579355744,217.97
1579355745,272.89
1579355746,239.21
1579355747,216.14
1579355748,249.3
1579355749,222.56
1579355750,237.9
1579355751,220.46
1579355752,277.35
1579355753,212.86
1579355754,212.34
1579355755,230.03
1579355756,246.15
1579355757,215.88
1579355758,219.68
1579355759,207.36
1579355760,213.12
1579355761,205.26
1579355762,228.59
1579355763,210.76
1579355764,222.04
1579355765,222.82
1579355766,227.28
1579355767,216.66
1579355768,215.88
1579355769,258.47
1579355770,226.23
1579355771,213.91
1579355772,258.87
1579355773,259.65
1579355774,341.57
1579355775,231.34
1579355776,226.23
1579355777,214.3
1579355778,211.55
1579355779,289.41
1579355780,267.65
1579355781,272.63
1579355782,226.49
1579355783,96.21
1579355784,218.76
1579355785,291.24
1579355786,215.22
1579355787,271.06
1579355788,270.53
1579355789,223.48
1579355790,225.71
1579355791,230.69
1579355792,215.48
1579355793,212.99
1579355794,206.96
1579355795,221.64
1579355796,227.93
1579355797,261.36
1579355798,220.99
1579355799,206.96
1579355800,212.6
1579355801,258.74
1579355802,110.17
1579355803,174.19
1579355804,279.45
1579355805,289.67
1579355806,215.74
1579355807,212.99
1579355808,235.8
1579355809,257.82
1579355810,212.07
1579355811,227.8
1579355812,214.3
1579355813,218.63
1579355814,227.41
1579355815,212.47
1579355816,208.27
1579355817,213.91
1579355818,232.26
1579355819,215.09
1579355820,301.99
1579355821,210.89
1579355822,234.75
1579355823,266.73
1579355824,208.4
1579355825,208.8
1579355826,126.68
1579355827,207.36
1579355828,215.22
1579355829,225.57
1579355830,266.73
1579355831,238.16
1579355832,217.58
1579355833,211.94
1579355834,205.26
1579355835,208.67
1579355836,255.85
1579355837,254.15
1579355838,213.25
1579355839,251.66
1579355840,208.54
1579355841,216.01
1579355842,278.66
1579355843,205.26
1579355844,214.83
1579355845,212.34
1579355846,210.89
1579355847,211.42
1579355848,215.09
1579355849,208.8
1579355850,206.7
1579355851,92.54
1579355852,189.53
1579355853,204.73
1579355854,211.94
1579355855,77.27
1579355856,85.59
1579355857,216.53
1579355858,89.52
1579355859,210.24
1579355860,206.96
1579355861,253.1
1579355862,73.4
1579355863,205.0
1579355864,103.94
1579355865,92.34
1579355866,142.21
1579355867,284.43
1579355868,102.04
1579355869,215.35
1579355870,237.11
1579355871,124.91
1579355872,125.3
1579355873,211.16
1579355874,107.41
1579355875,270.53
1579355876,82.05
1579355877,100.01
1579355878,69.8
1579355879,74.25
1579355880,104.46
1579355881,108.99
1579355882,73.92
1579355883,103.55
1579355884,207.75
1579355885,73.99
1579355886,72.88
1579355887,72.22
1579355888,64.98
1579355889,127.14
1579355890,110.95
1579355891,212.47
1579355892,89.26
1579355893,209.85
1579355894,121.7
1579355895,206.7
1579355896,79.63
1579355897,70.06
1579355898,208.67
1579355899,72.55
1579355900,210.11
1579355901,218.76
1579355902,65.83
1579355903,77.14
1579355904,61.54
1579355905,77.92
1579355906,119.34
1579355907,93.52
1579355908,81.07
1579355909,106.1
1579355910,82.84
1579355911,65.99
1579355912,108.92
1579355913,148.64
1579355914,115.87
1579355915,108.46
1579355916,55.35
1579355917,103.15
1579355918,79.82
1579355919,90.83
1579355920,82.25
1579355921,65.18
1579355922,68.42
1579355923,64.23
1579355924,70.19
1579355925,102.43
1579355926,90.83
1579355927,79.95
1579355928,83.49
1579355929,62.16
1579355930,61.34
1579355931,129.76
1579355932,63.8
1579355933,70.06
1579355934,58.0
1579355935,66.03
1579355936,69.93
1579355937,70.12
1579355938,59.74
1579355939,65.67
1579355940,86.31
1579355941,56.26
1579355942,81.53
1579355943,51.74
1579355944,55.8
1579355945,56.82
1579355946,52.36
1579355947,65.83
1579355948,673.71
1579355949,51.51
1579355950,63.86
1579355951,73.79
1579355952,179.96
1579355953,85.2
1579355954,64.55
1579355955,44.76
1579355956,57.25
1579355957,152.7
1579355958,57.34
